iter	RMSE
0	70.54489886
1	69.24135262
2	67.92788518
3	66.80336619
4	65.65701055
5	64.65983018
6	63.79458894
7	62.98346302
8	62.13879807
9	61.39603288
10	60.65305499
11	60.03742175
12	59.42411411
13	58.83405831
14	58.28943462
15	57.76492235
16	57.2021882
17	56.73036387
18	56.29818586
19	55.90468903
20	55.47531502
21	55.11458733
22	54.77971495
23	54.42441866
24	54.1381453
25	53.85374647
26	53.54236473
27	53.25542875
28	52.98851842
29	52.75486525
30	52.49456363
31	52.23848958
32	52.02533234
33	51.78606321
34	51.56630619
35	51.36958042
36	51.19200692
37	50.98019693
38	50.82476252
39	50.65717641
40	50.49833494
41	50.2799026
42	50.12223132
43	49.94607964
44	49.80808311
45	49.66737077
46	49.53004128
47	49.42413348
48	49.31588335
49	49.18042622
50	49.0689617
51	48.93191162
52	48.78236636
53	48.6525542
54	48.53846464
55	48.45309036
56	48.33924169
57	48.21684147
58	48.11841667
59	48.02038688
60	47.91070011
61	47.81503069
62	47.69990177
63	47.60519726
64	47.52538906
65	47.43089389
66	47.28037799
67	47.18984912
68	47.11523916
69	47.0156226
70	46.92011941
71	46.8219827
72	46.72609736
73	46.64023419
74	46.55319045
75	46.43819745
76	46.35748973
77	46.24693878
78	46.14054135
79	46.08148956
80	46.01646477
81	45.93511297
82	45.82932288
83	45.7470826
84	45.67138012
85	45.60909801
86	45.53008645
87	45.44721379
88	45.3350726
89	45.25723488
90	45.1673073
91	45.09650299
92	45.03719926
93	44.95613092
94	44.89148658
95	44.82104126
96	44.7479276
97	44.66703714
98	44.63569582
99	44.55011156
100	44.47935447
101	44.40740912
102	44.35284604
103	44.278502
104	44.21653722
105	44.15480466
106	44.09704374
107	44.02318268
108	43.96172308
109	43.92492154
110	43.87273355
111	43.80685704
112	43.72269872
113	43.68124656
114	43.63293569
115	43.56182317
116	43.5028998
117	43.45654911
118	43.36250445
119	43.30700823
120	43.25276958
121	43.1890018
122	43.17231206
123	43.1274252
124	43.05915473
125	43.00920606
126	42.96472061
127	42.92296572
128	42.87460066
129	42.81955482
130	42.74613555
131	42.6932866
132	42.62567871
133	42.58604948
134	42.53766807
135	42.49203653
136	42.44048028
137	42.3990643
138	42.357004
139	42.3002516
140	42.25502197
141	42.19549819
142	42.1635838
143	42.11056711
144	42.06812276
145	42.00586168
146	41.94207363
147	41.88859886
148	41.85130175
149	41.81242677
150	41.7733088
151	41.6952546
152	41.64586732
153	41.60235127
154	41.53422497
155	41.45225009
156	41.38925252
157	41.32019446
158	41.2607528
159	41.20302031
160	41.14714293
161	41.09986538
162	41.02185106
163	40.97307227
164	40.93242259
165	40.87089914
166	40.82529606
167	40.78552301
168	40.74363208
169	40.70195637
170	40.66325905
171	40.66325325
172	40.59795856
173	40.54729728
174	40.49519487
175	40.44244434
176	40.40341259
177	40.35667528
178	40.30953166
179	40.26686166
180	40.23896201
181	40.19443422
182	40.13703441
183	40.07958997
184	40.0355234
185	39.98192842
186	39.92610041
187	39.85133344
188	39.80339864
189	39.76240954
190	39.73678977
191	39.68268961
192	39.6423616
193	39.58665482
194	39.54720523
195	39.50583422
196	39.471331
197	39.43999446
198	39.36528013
199	39.33114065
200	39.2715321
201	39.23214145
202	39.17716992
203	39.12505376
204	39.09674514
205	39.0400695
206	38.99689885
207	38.94574327
208	38.89801079
209	38.83796614
210	38.81005091
211	38.76908364
212	38.74775863
213	38.70181736
214	38.63373297
215	38.58421965
216	38.53418398
217	38.4967465
218	38.45837978
219	38.4032913
220	38.36642724
221	38.30839909
222	38.27721206
223	38.22013292
224	38.17517531
225	38.12047551
226	38.06743265
227	38.01859174
228	37.98752418
229	37.9490427
230	37.90880819
231	37.86770225
232	37.81702706
233	37.76889408
234	37.7255119
235	37.68205702
236	37.63434463
237	37.57912012
238	37.53557433
239	37.49706436
240	37.45544166
241	37.42693477
242	37.38766169
243	37.34091348
244	37.29759966
245	37.26722851
246	37.22775376
247	37.17941987
248	37.15711566
249	37.12521807
250	37.10199278
251	37.05772893
252	37.01688431
253	36.96817258
254	36.92415636
255	36.89234971
256	36.86007435
257	36.83463488
258	36.81456721
259	36.77304215
260	36.72017587
261	36.68649585
262	36.63222155
263	36.58543771
264	36.54894514
265	36.51400935
266	36.47775287
267	36.42643094
268	36.37669258
269	36.34074834
270	36.29245326
271	36.25130484
272	36.21778527
273	36.18357528
274	36.13630437
275	36.08806493
276	36.0504253
277	36.00643107
278	35.9433176
279	35.88849785
280	35.86106667
281	35.83354283
282	35.79807444
283	35.75774741
284	35.71795259
285	35.67988798
286	35.65074707
287	35.60757536
288	35.5719122
289	35.52252882
290	35.50642042
291	35.4885656
292	35.46045243
293	35.43708154
294	35.40009474
295	35.36462955
296	35.33009001
297	35.3006875
298	35.25862539
299	35.21481796
300	35.17998475
301	35.15332728
302	35.12239792
303	35.1065247
304	35.06677484
305	35.03452404
306	35.00709529
307	34.98823723
308	34.95809423
309	34.92788964
310	34.89600866
311	34.86308972
312	34.8443539
313	34.82285394
314	34.79678221
315	34.76358451
316	34.73336335
317	34.70105535
318	34.65776124
319	34.62275269
320	34.57870011
321	34.53958168
322	34.49906324
323	34.46397119
324	34.43626787
325	34.40979014
326	34.37234208
327	34.35064847
328	34.32718575
329	34.28030841
330	34.25014358
331	34.22097388
332	34.18906198
333	34.15465082
334	34.11391521
335	34.08961501
336	34.04676549
337	34.00456315
338	33.96758782
339	33.93857992
340	33.8997436
341	33.86329983
342	33.82041103
343	33.7889965
344	33.75687859
345	33.73310631
346	33.69469551
347	33.66896435
348	33.64858692
349	33.62004602
350	33.58431798
351	33.54229418
352	33.51389672
353	33.48185215
354	33.45339294
355	33.44218839
356	33.40810319
357	33.37121824
358	33.35358103
359	33.31655789
360	33.28664819
361	33.2650396
362	33.24002083
363	33.21953868
364	33.18830059
365	33.1598454
366	33.13064108
367	33.10339464
368	33.07470459
369	33.04390333
370	33.01364283
371	32.98395398
372	32.9559329
373	32.92946824
374	32.90006583
375	32.86965675
376	32.84881738
377	32.83351795
378	32.81763649
379	32.79814779
380	32.77697256
381	32.74981568
382	32.72911252
383	32.69434274
384	32.66704119
385	32.64136471
386	32.61431155
387	32.57848468
388	32.54828526
389	32.5237228
390	32.4973409
391	32.47722938
392	32.44536165
393	32.41944931
394	32.39318563
395	32.37763345
396	32.35984258
397	32.3295314
398	32.30657833
399	32.26653018
400	32.24735287
401	32.22223528
402	32.20507338
403	32.17502909
404	32.15795237
405	32.1380293
406	32.11674298
407	32.0908319
408	32.06485309
409	32.04879872
410	32.02239613
411	32.00006743
412	31.95395445
413	31.93961206
414	31.92350385
415	31.91032578
416	31.88144019
417	31.86109485
418	31.84148809
419	31.83119599
