iter	Passed	Remaining
0	57	28673
1	148	36856
2	228	37844
3	296	36721
4	360	35684
5	427	35232
6	494	34816
7	561	34530
8	641	34976
9	711	34871
10	777	34579
11	841	34238
12	907	33984
13	978	33963
14	1045	33796
15	1112	33641
16	1177	33458
17	1242	33264
18	1308	33136
19	1372	32945
20	1439	32839
21	1505	32715
22	1570	32567
23	1634	32419
24	1704	32392
25	1773	32333
26	1836	32180
27	1910	32212
28	1979	32147
29	2042	32002
30	2108	31899
31	2171	31763
32	2297	32508
33	2424	33233
34	2498	33196
35	2568	33099
36	2633	32952
37	2693	32746
38	2755	32570
39	2820	32437
40	2882	32271
41	2946	32133
42	3018	32075
43	3085	31974
44	3151	31867
45	3223	31814
46	3289	31701
47	3354	31589
48	3423	31506
49	3489	31404
50	3558	31324
51	3630	31279
52	3698	31195
53	3771	31146
54	3837	31047
55	3904	30955
56	3971	30866
57	4038	30773
58	4108	30707
59	4174	30616
60	4248	30575
61	4311	30455
62	4372	30328
63	4436	30225
64	4497	30098
65	4560	29987
66	4622	29874
67	4682	29749
68	4744	29634
69	4809	29544
70	4871	29434
71	4932	29320
72	4997	29229
73	5057	29115
74	5122	29027
75	5185	28928
76	5246	28823
77	5306	28706
78	5368	28611
79	5429	28502
80	5496	28433
81	5560	28342
82	5629	28280
83	5689	28176
84	5757	28110
85	5818	28009
86	5879	27912
87	5942	27822
88	6006	27736
89	6065	27632
90	6128	27544
91	6187	27442
92	6249	27352
93	6314	27272
94	6374	27174
95	6434	27080
96	6497	26993
97	6559	26906
98	6603	26745
99	6664	26656
100	6728	26580
101	6788	26488
102	6849	26398
103	6910	26314
104	6973	26232
105	7036	26154
106	7100	26077
107	7159	25987
108	7231	25940
109	7294	25860
110	7355	25776
111	7416	25692
112	7478	25613
113	7539	25526
114	7599	25441
115	7661	25362
116	7721	25276
117	7781	25191
118	7844	25116
119	7905	25034
120	7968	24957
121	8032	24887
122	8067	24728
123	8128	24646
124	8188	24566
125	8252	24495
126	8312	24412
127	8373	24336
128	8437	24265
129	8497	24184
130	8558	24107
131	8621	24036
132	8681	23954
133	8741	23876
134	8805	23808
135	8866	23729
136	8926	23651
137	8998	23605
138	9061	23534
139	9127	23470
140	9191	23402
141	9252	23327
142	9313	23251
143	9376	23181
144	9438	23106
145	9498	23030
146	9563	22965
147	9623	22888
148	9690	22827
149	9754	22760
150	9815	22686
151	9878	22615
152	9940	22545
153	10004	22477
154	10064	22402
155	10126	22331
156	10187	22257
157	10248	22183
158	10311	22115
159	10371	22039
160	10431	21964
161	10494	21896
162	10556	21825
163	10622	21762
164	10686	21695
165	10747	21624
166	10819	21574
167	10882	21505
168	10942	21431
169	11004	21361
170	11067	21293
171	11081	21131
172	11145	21066
173	11206	20995
174	11268	20927
175	11329	20856
176	11388	20782
177	11450	20713
178	11511	20642
179	11575	20579
180	11638	20512
181	11698	20439
182	11758	20369
183	11822	20304
184	11884	20235
185	11944	20164
186	12011	20104
187	12071	20033
188	12132	19964
189	12196	19899
190	12257	19829
191	12322	19766
192	12384	19700
193	12445	19630
194	12505	19559
195	12572	19500
196	12631	19428
197	12692	19358
198	12756	19294
199	12816	19224
200	12875	19153
201	12937	19085
202	13002	19023
203	13066	18959
204	13133	18899
205	13196	18833
206	13260	18770
207	13340	18727
208	13401	18659
209	13461	18589
210	13524	18524
211	13584	18453
212	13643	18383
213	13705	18316
214	13763	18245
215	13824	18177
216	13898	18125
217	13960	18059
218	14021	17991
219	14084	17925
220	14145	17857
221	14207	17791
222	14271	17727
223	14332	17660
224	14393	17592
225	14458	17529
226	14521	17463
227	14583	17398
228	14662	17351
229	14725	17286
230	14787	17219
231	14852	17156
232	14919	17096
233	14983	17032
234	15050	16972
235	15111	16904
236	15175	16840
237	15240	16777
238	15302	16711
239	15364	16644
240	15427	16579
241	15488	16512
242	15579	16477
243	15655	16425
244	15718	16359
245	15777	16290
246	15840	16225
247	15898	16155
248	15958	16087
249	16023	16023
250	16084	15956
251	16147	15891
252	16211	15826
253	16272	15759
254	16331	15690
255	16393	15624
256	16453	15556
257	16512	15488
258	16581	15428
259	16639	15359
260	16700	15292
261	16763	15227
262	16823	15160
263	16888	15097
264	16957	15037
265	17015	14968
266	17076	14901
267	17139	14837
268	17199	14770
269	17261	14704
270	17323	14638
271	17387	14574
272	17452	14511
273	17516	14448
274	17576	14380
275	17635	14312
276	17702	14251
277	17767	14188
278	17830	14123
279	17892	14058
280	17954	13992
281	18016	13927
282	18079	13863
283	18148	13802
284	18214	13740
285	18279	13677
286	18340	13611
287	18398	13543
288	18462	13479
289	18522	13413
290	18583	13346
291	18650	13285
292	18720	13225
293	18781	13160
294	18845	13096
295	18910	13033
296	18982	12974
297	19047	12911
298	19109	12846
299	19172	12781
300	19237	12718
301	19302	12655
302	19364	12590
303	19426	12524
304	19485	12458
305	19545	12391
306	19609	12327
307	19674	12264
308	19739	12201
309	19804	12138
310	19864	12071
311	19926	12006
312	19991	11943
313	20051	11877
314	20114	11813
315	20177	11748
316	20247	11688
317	20312	11625
318	20377	11562
319	20437	11496
320	20498	11430
321	20563	11367
322	20624	11302
323	20684	11236
324	20747	11171
325	20809	11106
326	20873	11043
327	20947	10984
328	21012	10921
329	21074	10856
330	21147	10797
331	21208	10731
332	21268	10666
333	21341	10606
334	21405	10542
335	21471	10480
336	21535	10416
337	21598	10351
338	21663	10288
339	21730	10226
340	21793	10161
341	21853	10096
342	21917	10032
343	21978	9967
344	22040	9902
345	22103	9838
346	22167	9773
347	22228	9708
348	22292	9645
349	22352	9579
350	22412	9514
351	22476	9450
352	22538	9385
353	22601	9321
354	22665	9257
355	22726	9192
356	22787	9127
357	22851	9063
358	22913	8999
359	22976	8935
360	23040	8871
361	23101	8806
362	23164	8742
363	23229	8679
364	23289	8614
365	23349	8548
366	23412	8484
367	23474	8420
368	23536	8355
369	23601	8292
370	23663	8227
371	23726	8163
372	23791	8100
373	23851	8035
374	23916	7972
375	23982	7909
376	24043	7844
377	24104	7779
378	24169	7716
379	24229	7651
380	24303	7590
381	24367	7527
382	24428	7462
383	24487	7397
384	24550	7333
385	24611	7268
386	24672	7204
387	24736	7140
388	24797	7075
389	24861	7012
390	24924	6948
391	24988	6884
392	25050	6820
393	25114	6756
394	25175	6692
395	25237	6627
396	25301	6564
397	25360	6499
398	25419	6434
399	25485	6371
400	25543	6306
401	25616	6244
402	25723	6191
403	25787	6127
404	25849	6063
405	25909	5998
406	25974	5935
407	26036	5870
408	26097	5806
409	26160	5742
410	26220	5678
411	26279	5613
412	26343	5549
413	26402	5484
414	26462	5419
415	26525	5356
416	26586	5291
417	26646	5227
418	26708	5163
419	26768	5098
420	26828	5034
421	26888	4969
422	26949	4905
423	27014	4842
424	27074	4777
425	27138	4714
426	27198	4649
427	27258	4585
428	27320	4521
429	27380	4457
430	27440	4393
431	27505	4329
432	27565	4265
433	27626	4201
434	27688	4137
435	27748	4073
436	27808	4009
437	27895	3948
438	27957	3884
439	28020	3821
440	28095	3758
441	28158	3694
442	28216	3630
443	28280	3566
444	28340	3502
445	28402	3438
446	28465	3375
447	28525	3311
448	28590	3247
449	28654	3183
450	28714	3119
451	28774	3055
452	28838	2992
453	28898	2928
454	28957	2863
455	29030	2801
456	29090	2737
457	29156	2673
458	29220	2610
459	29280	2546
460	29338	2482
461	29400	2418
462	29460	2354
463	29519	2290
464	29581	2226
465	29642	2162
466	29704	2099
467	29767	2035
468	29828	1971
469	29892	1908
470	29954	1844
471	30017	1780
472	30080	1717
473	30148	1653
474	30218	1590
475	30280	1526
476	30345	1463
477	30404	1399
478	30465	1335
479	30527	1271
480	30593	1208
481	30655	1144
482	30718	1081
483	30776	1017
484	30837	953
485	30900	890
